,Ano,Time,Total_Viagens_KM,Media_Viagem_KM,Jogos_Fora
444,2024,Athletico-PR,16215.0735142706,853.424921803715,19
445,2024,Atletico-MG,15034.3105778636,791.279504098085,19
446,2024,Cruzeiro,15034.3105778636,791.279504098085,19
447,2024,Botafogo-RJ,14139.431858528,744.180624133054,19
448,2024,Flamengo,14139.431858528,744.180624133054,19
449,2024,Fluminense,14139.431858528,744.180624133054,19
450,2024,Vasco,14139.431858528,744.180624133054,19
451,2024,Corinthians,13371.3509640745,703.755313898656,19
452,2024,Palmeiras,13371.3509640745,703.755313898656,19
453,2024,Sao Paulo,13371.3509640745,703.755313898656,19
454,2024,Bragantino,13351.938122326,702.73358538558,19
